iCUSIP,iPERIOD_END,x9,x10,x11
219350105,2013-06-30,,0.0,
478160104,2013-06-30,,0.0,
369550108,2013-06-30,,0.0,
902973304,2013-06-30,,0.0,
494368103,2013-06-30,,0.0,
713448108,2013-06-30,,0.0,
031162100,2013-06-30,,0.0,
742718109,2013-06-30,,0.0,
92343V104,2013-06-30,,0.0,
907818108,2013-06-30,,0.0,
717081103,2013-06-30,,0.0,
460146103,2013-06-30,,0.0,
670346105,2013-06-30,,0.0,
149123101,2013-06-30,,0.0,
459200101,2013-06-30,,0.0,
747525103,2013-06-30,,0.0,
406216101,2013-06-30,,0.0,
291011104,2013-06-30,,0.0,
189754104,2013-06-30,,0.0,
617446448,2013-06-30,,0.0,
38259P508,2013-06-30,,0.0,
025816109,2013-06-30,,0.0,
931142103,2013-06-30,,0.0,
855030102,2013-06-30,,0.0,
674599105,2013-06-30,,0.0,
013817101,2013-06-30,,0.0,
887317303,2013-06-30,,0.0,
806857108,2013-06-30,,0.0,
30231G102,2013-06-30,,0.0,
039483102,2013-06-30,,0.0,
254687106,2013-06-30,,0.0,
009158106,2013-06-30,,0.0,
369604103,2013-06-30,,0.0,
452308109,2013-06-30,,0.0,
88579Y101,2013-06-30,,0.0,
31428X106,2013-06-30,,0.0,
931422109,2013-06-30,,0.0,
G47791101,2013-06-30,,0.0,
458140100,2013-06-30,,0.0,
075887109,2013-06-30,,0.0,
580135101,2013-06-30,,0.0,
863667101,2013-06-30,,0.0,
037833100,2013-06-30,,0.0,
594918104,2013-06-30,,0.0,
904784709,2013-06-30,,0.0,
17275R102,2013-06-30,,0.0,
46625H100,2013-06-30,,0.0,
053015103,2013-06-30,,0.0,
437076102,2013-06-30,,0.0,
171232101,2013-06-30,,0.0,
22160K105,2013-06-30,,0.0,
98978V103,2013-06-30,,0.0,
751212101,2013-06-30,,0.0,
931427108,2013-06-30,,,
09247X101,2013-06-30,,0.0,
855244109,2013-06-30,,0.0,
02079K305,2013-06-30,,,
92826C839,2013-06-30,,0.0,
023135106,2013-06-30,,0.0,
876030107,2013-06-30,,,
438516106,2013-06-30,,0.0,
88160R101,2013-06-30,,0.0,
89417E109,2013-06-30,,0.0,
09857L108,2013-06-30,,,
30303M102,2013-06-30,,0.0,
755111507,2013-06-30,,0.0,
776696106,2013-06-30,,0.0,
882508104,2013-06-30,,0.0,
46266C105,2013-06-30,,,
67066G104,2013-06-30,,0.0,
110122108,2013-06-30,,0.0,
00287Y109,2013-06-30,,0.0,
615369105,2013-06-30,,0.0,
452327109,2013-06-30,,0.0,
278865100,2013-06-30,,0.0,
166764100,2013-06-30,,0.0,
423452101,2013-06-30,,0.0,
808513105,2013-06-30,,0.0,
911163103,2013-06-30,,0.0,
00206R102,2013-06-30,,0.0,
16941M109,2013-06-30,,0.0,
58933Y105,2013-06-30,,0.0,
69331C108,2013-06-30,,0.0,
134429109,2013-06-30,,0.0,
